"caseid","age","birthyr","gender","race"
392148549,37,1981,2,1
392148441,47,1971,2,1
392140028,73,1945,2,1
392148236,51,1967,2,1
392148169,66,1952,1,2
392148653,39,1979,1,1
392103101,71,1947,2,1
392148602,39,1979,2,2
392148709,60,1958,2,2
392095682,76,1942,1,1
392151149,54,1964,2,3
392147852,42,1976,2,1
392148650,53,1965,1,2
392151104,35,1983,2,1
392151085,62,1956,1,2
392151554,48,1970,2,2
392151560,52,1966,1,2
392151606,45,1973,2,1
392144772,62,1956,1,2
392151610,43,1975,2,2
392151818,28,1990,1,1
392151954,37,1981,1,6
392151817,43,1975,2,6
392151925,40,1978,2,1
392151924,53,1965,1,1
392151958,42,1976,2,1
392111440,33,1985,2,1
392151834,45,1973,2,1
392095072,74,1944,2,2
392151596,59,1959,1,1
392102960,74,1944,2,2
392151906,45,1973,2,1
392151604,58,1960,1,2
392152106,46,1972,2,2
392152341,43,1975,2,1
392051142,70,1948,2,1
392145263,78,1940,2,1
392150831,68,1950,2,1
392136227,56,1962,1,1
392154628,42,1976,2,7
392095683,65,1953,1,1
392147133,73,1945,1,1
392114599,71,1947,2,1
392154852,50,1968,1,2
392131730,69,1949,2,1
392154848,41,1977,2,1
392149688,70,1948,2,1
392152109,39,1979,1,6
392151370,64,1954,2,2
392154809,39,1979,2,1
392152251,38,1980,1,1
392152158,63,1955,2,1
392154948,57,1961,2,3
392147136,71,1947,2,1
392154949,61,1957,2,8
392155049,38,1980,2,7
392155167,44,1974,1,1
392139946,38,1980,2,1
392144762,44,1974,1,1
392132626,47,1971,2,7
392132022,87,1931,2,1
392155194,60,1958,2,7
392138845,54,1964,2,3
392129239,71,1947,2,1
392154957,56,1962,2,1
391707932,81,1937,2,1
392122516,71,1947,2,1
392047930,40,1978,2,1
392090705,37,1981,2,1
392156829,42,1976,1,1
392157703,38,1980,2,1
392155230,57,1961,1,1
392117626,76,1942,1,1
391508725,60,1958,2,1
392113191,93,1925,1,1
392150739,47,1971,2,6
392157702,36,1982,2,1
392099024,36,1982,2,1
392112955,62,1956,2,1
392150648,70,1948,2,1
392139720,74,1944,1,1
392128108,68,1950,2,1
392150530,46,1972,2,3
392042723,44,1974,2,1
392155117,44,1974,2,1
392158058,40,1978,1,3
392157934,39,1979,1,1
392157779,38,1980,2,1
392155294,52,1966,1,7
392158059,51,1967,1,1
392045420,39,1979,2,6
392147524,55,1963,2,1
391753122,49,1969,1,1
392131882,43,1975,1,1
392149641,44,1974,2,1
392122394,66,1952,1,1
392147175,61,1957,2,1
392158234,33,1985,1,1
392154048,37,1981,2,1
392103225,72,1946,2,1
392107067,44,1974,2,1
392146184,53,1965,2,1
392157487,44,1974,2,1
392154300,38,1980,1,1
392158613,57,1961,2,3
392048135,23,1995,2,6
392129085,71,1947,2,1
392154520,50,1968,1,1
392158516,36,1982,2,1
392124539,53,1965,1,1
392150773,31,1987,2,1
392110341,71,1947,2,1
392161032,30,1988,2,4
392158571,57,1961,2,1
392151045,61,1957,2,2
392161053,54,1964,2,1
392106665,56,1962,1,1
392148977,36,1982,1,1
392156364,42,1976,2,1
392136944,70,1948,1,1
392141789,63,1955,1,1
392147332,70,1948,2,1
392076017,81,1937,1,1
392139856,61,1957,2,3
392098909,60,1958,1,1
392132623,52,1966,2,1
392095320,68,1950,2,1
392156332,44,1974,2,2
392123675,42,1976,1,1
392090544,72,1946,1,1
392129206,31,1987,2,1
392076020,43,1975,2,1
392115236,50,1968,2,1
392131457,67,1951,1,1
392054142,51,1967,2,3
392109365,36,1982,1,1
392047878,36,1982,1,1
392143775,81,1937,2,1
392143780,37,1981,2,1
392129223,37,1981,2,1
392050974,40,1978,1,1
391707922,61,1957,2,1
392131629,75,1943,1,1
392160438,66,1952,1,1
392160393,32,1986,1,4
392154215,67,1951,2,1
392161779,53,1965,1,1
392164156,22,1996,2,1
392143531,75,1943,1,1
392099399,66,1952,1,1
392160466,85,1933,2,1
392164080,27,1991,2,1
392164139,44,1974,1,1
392157309,67,1951,1,1
392132660,42,1976,1,4
392163905,40,1978,2,1
392045087,63,1955,2,1
392047428,41,1977,2,1
392146218,37,1981,2,1
392159460,48,1970,1,1
392099564,51,1967,1,1
392106882,43,1975,2,1
392157606,60,1958,2,1
392117452,45,1973,2,1
392164436,20,1998,2,1
392166687,35,1983,2,3
392161387,30,1988,2,1
392150879,36,1982,2,2
392099127,85,1933,1,1
392166730,28,1990,2,1
392062560,39,1979,2,3
392166805,59,1959,1,1
392095066,38,1980,2,4
392160485,78,1940,2,1
392150681,46,1972,2,1
392150435,51,1967,2,1
392032032,42,1976,1,1
392167073,31,1987,2,1
392167033,38,1980,1,3
392090775,64,1954,2,1
392113223,56,1962,2,1
392147505,70,1948,2,7
392127734,40,1978,1,3
392169183,29,1989,2,1
392166886,44,1974,2,1
392031844,64,1954,2,1
392122460,78,1940,2,1
392166094,44,1974,2,1
392164671,59,1959,1,1
392117121,62,1956,2,1
392169494,62,1956,2,3
392169691,44,1974,2,1
392169371,45,1973,2,1
392172152,62,1956,2,1
392166274,57,1961,2,1
392165344,42,1976,2,2
392160573,49,1969,2,1
392171486,51,1967,1,1
392114711,35,1983,1,1
392136139,37,1981,1,1
392050944,57,1961,1,1
392174562,28,1990,2,1
392160442,25,1993,2,1
392174478,25,1993,2,1
392118323,46,1972,2,3
392136829,35,1983,2,1
392099411,64,1954,2,1
392174699,53,1965,2,3
392166221,41,1977,2,1
392103232,28,1990,2,2
392131703,27,1991,2,1
392174791,36,1982,2,4
392154239,40,1978,1,1
392113304,36,1982,2,1
392112800,48,1970,2,1
392079400,29,1989,2,1
392150340,30,1988,1,1
392173990,49,1969,2,1
392091272,34,1984,2,1
392084087,50,1968,2,2
392150710,58,1960,2,1
392136541,62,1956,2,1
392179561,59,1959,2,1
392179672,52,1966,2,2
392179822,22,1996,2,1
392179789,35,1983,1,4
392179896,27,1991,2,3
392173763,45,1973,1,3
392156439,30,1988,2,1
392182021,48,1970,2,1
392040961,34,1984,1,1
392182109,32,1986,2,1
392143141,55,1963,1,1
392179053,62,1956,1,1
392175704,33,1985,2,1
392065432,24,1994,2,6
392186867,30,1988,2,1
392186821,52,1966,1,7
392110473,24,1994,1,1
392179055,37,1981,1,3
392171406,36,1982,2,1
392186827,55,1963,1,3
392148408,62,1956,2,6
392187565,49,1969,1,1
392135903,39,1979,2,1
392154199,40,1978,1,3
392163518,26,1992,2,1
392178863,41,1977,2,1
392155788,59,1959,1,1
392160578,38,1980,2,6
392190831,44,1974,1,1
392196160,19,1999,1,2
392193273,25,1993,1,4
392196364,58,1960,1,1
392147262,40,1978,1,1
392160515,30,1988,2,1
392180634,35,1983,1,3
392159567,56,1962,1,3
392195343,38,1980,1,1
392155753,62,1956,1,1
392167969,45,1973,1,3
392196865,44,1974,2,1
392198473,24,1994,2,1
392140394,35,1983,1,1
392051119,32,1986,2,1
392185903,56,1962,1,1
392156331,34,1984,1,1
392170582,61,1957,1,1
392193062,32,1986,2,1
392169054,43,1975,1,1
392197902,37,1981,1,1
392201034,42,1976,2,1
392201140,31,1987,2,1
392201213,35,1983,2,3
392150542,83,1935,2,1
392203456,33,1985,2,1
392201197,62,1956,1,2
392203851,42,1976,1,1
391729379,70,1948,2,1
392206152,38,1980,2,3
392206141,51,1967,1,2
392205221,43,1975,2,1
392206345,45,1973,2,1
392099379,78,1940,1,1
392181532,44,1974,2,4
392206472,38,1980,2,1
392176445,59,1959,1,3
392105668,63,1955,1,3
392209345,32,1986,2,1
392209407,55,1963,1,1
392138879,54,1964,1,1
392194545,25,1993,1,1
392207974,25,1993,2,4
392211709,29,1989,2,1
392167920,55,1963,2,5
391536652,30,1988,1,1
392157633,29,1989,2,1
392212209,33,1985,1,1
392139744,74,1944,1,1
392212040,33,1985,1,1
392150767,40,1978,1,4
392212315,29,1989,2,1
392214517,27,1991,2,2
392210699,37,1981,1,1
392214594,45,1973,1,1
392153283,56,1962,1,1
392103003,29,1989,2,1
392214592,26,1992,1,1
392163231,28,1990,1,2
392214498,26,1992,1,2
392138747,61,1957,2,7
392215056,34,1984,1,1
392214991,43,1975,2,1
392214682,22,1996,2,1
392205028,41,1977,1,1
392190677,30,1988,1,1
392217294,43,1975,2,1
392210654,22,1996,2,1
392217615,35,1983,2,3
392216238,29,1989,2,1
392195501,49,1969,1,1
392127438,42,1976,1,1
392216378,27,1991,2,4
392217791,33,1985,2,1
392138881,62,1956,1,1
392217720,27,1991,2,1
392216346,40,1978,2,1
392207414,23,1995,2,1
392220323,25,1993,2,1
392150533,48,1970,1,1
392220635,36,1982,2,2
392098733,50,1968,1,2
392103507,58,1960,2,2
392223121,43,1975,2,1
392223023,35,1983,1,1
392157166,56,1962,2,3
392221577,48,1970,1,1
392213570,33,1985,2,1
392221583,56,1962,2,2
392211930,30,1988,2,1
392216271,40,1978,1,2
392162411,39,1979,2,2
392223455,62,1956,1,2
392223434,28,1990,2,1
392225706,29,1989,2,4
392157302,40,1978,2,1
392225840,39,1979,2,1
392225963,35,1983,2,1
392214424,60,1958,1,1
392224364,39,1979,1,1
392183051,57,1961,1,2
391083378,70,1948,2,1
392051146,37,1981,2,2
392224705,47,1971,2,3
392117422,78,1940,2,1
392139633,52,1966,1,1
391741377,52,1966,1,1
392085042,63,1955,1,2
392224401,58,1960,1,1
392231174,29,1989,2,4
392228826,41,1977,1,1
392164310,23,1995,2,3
392215315,63,1955,1,1
392225981,42,1976,1,1
392231355,28,1990,2,1
392227627,50,1968,1,1
392171361,40,1978,2,1
392182439,63,1955,1,1
392230267,56,1962,1,1
392213552,59,1959,1,2
392176849,40,1978,1,1
392222100,58,1960,1,1
392179081,49,1969,1,1
392233311,28,1990,2,1
392226242,28,1990,2,6
