"Outcome","S1Variable","S2Variable","Availability","Code","Meaning"
"IdentityStatus_32","S1_IdentityStatus_32","","S1 only",2,"Moderately disagree"
"IdentityStatus_32","S1_IdentityStatus_32","","S1 only",3,"Disagree"
"IdentityStatus_32","S1_IdentityStatus_32","","S1 only",4,"Agree"
"IdentityStatus_32","S1_IdentityStatus_32","","S1 only",5,"Moderately agree"
"IdentityStatus_32","S1_IdentityStatus_32","","S1 only",6,"Strongly agree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",1,"Strongly disagree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",2,"Moderately disagree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",3,"Disagree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",4,"Agree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",5,"Moderately agree"
"IdentityStatus_4","S1_IdentityStatus_4","","S1 only",6,"Strongly agree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",1,"Strongly disagree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",2,"Moderately disagree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",3,"Disagree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",4,"Agree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",5,"Moderately agree"
"IdentityStatus_5","S1_IdentityStatus_5","","S1 only",6,"Strongly agree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",1,"Strongly disagree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",2,"Moderately disagree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",3,"Disagree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",4,"Agree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",5,"Moderately agree"
"IdentityStatus_6","S1_IdentityStatus_6","","S1 only",6,"Strongly agree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",1,"Strongly disagree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",2,"Moderately disagree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",3,"Disagree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",4,"Agree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",5,"Moderately agree"
"IdentityStatus_7","S1_IdentityStatus_7","","S1 only",6,"Strongly agree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",1,"Strongly disagree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",2,"Moderately disagree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",3,"Disagree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",4,"Agree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",5,"Moderately agree"
"IdentityStatus_8","S1_IdentityStatus_8","","S1 only",6,"Strongly agree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",1,"Strongly disagree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",2,"Moderately disagree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",3,"Disagree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",4,"Agree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",5,"Moderately agree"
"IdentityStatus_9","S1_IdentityStatus_9","","S1 only",6,"Strongly agree"
"Inspiration","S1_Inspiration","","S1 only",,"S1 Inspiration"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",1,"Never"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",2,"2"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",3,"3"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",4,"4"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",5,"5"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",6,"6"
"Inspiration_1_1","S1_Inspiration_1_1","","S1 only",7,"Very often"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",1,"Never"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",2,"2"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",3,"3"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",4,"4"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",5,"5"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",6,"6"
"Inspiration_1_2","S1_Inspiration_1_2","","S1 only",7,"Very often"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",1,"Never"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",2,"2"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",3,"3"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",4,"4"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",5,"5"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",6,"6"
"Inspiration_1_3","S1_Inspiration_1_3","","S1 only",7,"Very often"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",1,"Never"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",2,"2"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",3,"3"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",4,"4"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",5,"5"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",6,"6"
"Inspiration_1_4","S1_Inspiration_1_4","","S1 only",7,"Very often"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",1,"Not at all"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",2,"2"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",3,"3"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",4,"4"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",5,"5"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",6,"6"
"Inspiration_2_1","S1_Inspiration_2_1","","S1 only",7,"Very strongly"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",1,"Not at all"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",2,"2"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",3,"3"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",4,"4"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",5,"5"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",6,"6"
"Inspiration_2_2","S1_Inspiration_2_2","","S1 only",7,"Very strongly"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",1,"Not at all"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",2,"2"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",3,"3"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",4,"4"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",5,"5"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",6,"6"
"Inspiration_2_3","S1_Inspiration_2_3","","S1 only",7,"Very strongly"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",1,"Not at all"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",2,"2"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",3,"3"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",4,"4"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",5,"5"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",6,"6"
"Inspiration_2_4","S1_Inspiration_2_4","","S1 only",7,"Very strongly"
"IntrinsicSuccess","","S2_IntrinsicSuccess","S2 only",,"S2 Intrinsic success"
"InvestigativeInterests","","S2_InvestigativeInterests","S2 only",,"S2 Investigative interests"
"IPAddress","S1_IPAddress","S2_IPAddress","S1 and S2",,"IP Address"
"JobAttainment","","S2_JobAttainment","S2 only",,"S2 Job attainment"
"Leadership","","S2_Leadership","S2 only",,"S2 Leadership"
"Leadership_1","","S2_Leadership_1","S2 only",1,"Not at all"
"Leadership_1","","S2_Leadership_1","S2 only",2,"Once in a while"
"Leadership_1","","S2_Leadership_1","S2 only",3,"Sometimes"
"Leadership_1","","S2_Leadership_1","S2 only",4,"Fairly often"
"Leadership_1","","S2_Leadership_1","S2 only",5,"Frequently, if not always"
"Leadership_2","","S2_Leadership_2","S2 only",1,"Not at all"
"Leadership_2","","S2_Leadership_2","S2 only",2,"Once in a while"
"Leadership_2","","S2_Leadership_2","S2 only",3,"Sometimes"
"Leadership_2","","S2_Leadership_2","S2 only",4,"Fairly often"
"Leadership_2","","S2_Leadership_2","S2 only",5,"Frequently, if not always"
"Leadership_3","","S2_Leadership_3","S2 only",1,"Not at all"
"Leadership_3","","S2_Leadership_3","S2 only",2,"Once in a while"
"Leadership_3","","S2_Leadership_3","S2 only",3,"Sometimes"
"Leadership_3","","S2_Leadership_3","S2 only",4,"Fairly often"
"Leadership_3","","S2_Leadership_3","S2 only",5,"Frequently, if not always"
"Leadership_4","","S2_Leadership_4","S2 only",1,"Not at all"
"Leadership_4","","S2_Leadership_4","S2 only",2,"Once in a while"
"Leadership_4","","S2_Leadership_4","S2 only",3,"Sometimes"
"Leadership_4","","S2_Leadership_4","S2 only",4,"Fairly often"
"Leadership_4","","S2_Leadership_4","S2 only",5,"Frequently, if not always"
"Leadership_5","","S2_Leadership_5","S2 only",1,"Not at all"
"Leadership_5","","S2_Leadership_5","S2 only",2,"Once in a while"
"Leadership_5","","S2_Leadership_5","S2 only",3,"Sometimes"
"Leadership_5","","S2_Leadership_5","S2 only",4,"Fairly often"
"Leadership_5","","S2_Leadership_5","S2 only",5,"Frequently, if not always"
"Leadership_6","","S2_Leadership_6","S2 only",1,"Not at all"
"Leadership_6","","S2_Leadership_6","S2 only",2,"Once in a while"
"Leadership_6","","S2_Leadership_6","S2 only",3,"Sometimes"
"Leadership_6","","S2_Leadership_6","S2 only",4,"Fairly often"
"Leadership_6","","S2_Leadership_6","S2 only",5,"Frequently, if not always"
"Leadership_7","","S2_Leadership_7","S2 only",1,"Not at all"
"Leadership_7","","S2_Leadership_7","S2 only",2,"Once in a while"
"Leadership_7","","S2_Leadership_7","S2 only",3,"Sometimes"
"Leadership_7","","S2_Leadership_7","S2 only",4,"Fairly often"
"Leadership_7","","S2_Leadership_7","S2 only",5,"Frequently, if not always"
"Leadership_8","","S2_Leadership_8","S2 only",1,"Not at all"
"Leadership_8","","S2_Leadership_8","S2 only",2,"Once in a while"
"Leadership_8","","S2_Leadership_8","S2 only",3,"Sometimes"
"Leadership_8","","S2_Leadership_8","S2 only",4,"Fairly often"
"Leadership_8","","S2_Leadership_8","S2 only",5,"Frequently, if not always"
"Life_satisfaction_1","S1_Life_satisfaction_1","","S1 only",1,"Disagree"
"Life_satisfaction_1","S1_Life_satisfaction_1","","S1 only",2,"?"
"Life_satisfaction_1","S1_Life_satisfaction_1","","S1 only",3,"Agree"
"Life_satisfaction_2","S1_Life_satisfaction_2","","S1 only",1,"Disagree"
"Life_satisfaction_2","S1_Life_satisfaction_2","","S1 only",2,"?"
"Life_satisfaction_2","S1_Life_satisfaction_2","","S1 only",3,"Agree"
"Life_satisfaction_3","S1_Life_satisfaction_3","","S1 only",1,"Disagree"
"Life_satisfaction_3","S1_Life_satisfaction_3","","S1 only",2,"?"
"Life_satisfaction_3","S1_Life_satisfaction_3","","S1 only",3,"Agree"
"Life_satisfaction_4","S1_Life_satisfaction_4","","S1 only",1,"Disagree"
"Life_satisfaction_4","S1_Life_satisfaction_4","","S1 only",2,"?"
"Life_satisfaction_4","S1_Life_satisfaction_4","","S1 only",3,"Agree"
"Life_satisfaction_5","S1_Life_satisfaction_5","","S1 only",1,"Disagree"
"Life_satisfaction_5","S1_Life_satisfaction_5","","S1 only",2,"?"
"Life_satisfaction_5","S1_Life_satisfaction_5","","S1 only",3,"Agree"
"Life_satisfaction_6","S1_Life_satisfaction_6","","S1 only",1,"Disagree"
"Life_satisfaction_6","S1_Life_satisfaction_6","","S1 only",2,"?"
"Life_satisfaction_6","S1_Life_satisfaction_6","","S1 only",3,"Agree"
"LifeSatisfaction","S1_LifeSatisfaction","","S1 only",,"S1 Subjective well-being: Life satisfaction"
"LocationLatitude","S1_LocationLatitude","S2_LocationLatitude","S1 and S2",,"Location Latitude"
"LocationLongitude","S1_LocationLongitude","S2_LocationLongitude","S1 and S2",,"Location Longitude"
"MajorityCultureIdentification","S1_MajorityCultureIdentification","","S1 only",,"S1 Majority culture identification"
"marstat","S1_MaritalStatus","S2_MaritalStatus","S1 and S2",1,"Married"
"marstat","S1_MaritalStatus","S2_MaritalStatus","S1 and S2",2,"Widowed"
"marstat","S1_MaritalStatus","S2_MaritalStatus","S1 and S2",3,"Divorced"
"marstat","S1_MaritalStatus","S2_MaritalStatus","S1 and S2",4,"Separated"
"marstat","S1_MaritalStatus","S2_MaritalStatus","S1 and S2",5,"Never married"
"MaritalStatus1","S1_MaritalStatus1","","S1 only",1,"Yes"
"MaritalStatus1","S1_MaritalStatus1","","S1 only",2,"No"
"MaritalStatus2","S1_MaritalStatus2","","S1 only",1,"Yes"
"MaritalStatus2","S1_MaritalStatus2","","S1 only",2,"No"
"NegativeAffect","S1_NegativeAffect","","S1 only",,"S1 Subjective well-being: Negative affect"
"OccupationalCommitment","","S2_OccupationalCommitment","S2 only",,"S2 Occupational commitment"
"OccupationalInvolvement","","S2_OccupationalInvolvement","S2 only",,"S2 Occupational involvement"
"OccupationalPerformanceSalary","","S2_OccupationalPerformanceSalary","S2 only",,"S2 Occupational performance: Salary"
"OccupationalPerformanceStatusChange","","S2_OccupationalPerformanceStatusChange","S2 only",,"S2 Occupational performance: Status change"
"OccupationalPerformanceTurnover","","S2_OccupationalPerformanceTurnover","S2 only",,"S2 Occupational performance: Turnover"
"OccupationalSatisfaction","","S2_OccupationalSatisfaction","S2 only",,"S2 Occupational satisfaction"
"opp","S1_opp","S2_opp","S1 and S2",,"opp"
"ParanormalBeliefs","S1_ParanormalBeliefs","","S1 only",,"S1 Existential/phenomenological concerns: Paranormal beliefs"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",1,"Extremely unpopular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",2,"Very unpopular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",3,"Moderately unpopular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",4,"Somewhat unpopular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",5,"Average"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",6,"Somewhat popular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",7,"Moderately popular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",8,"Very popular"
"PeerAcceptance","S1_PeerAcceptance","","S1 only",9,"Extremely popular"
"PeersAcceptanceFriendship","S1_PeersAcceptanceFriendship","","S1 only",,"S1 Peers' acceptance and friendship"
"PeerStatus","S1_PeerStatus","","S1 only",1,"Low status"
"PeerStatus","S1_PeerStatus","","S1 only",2,"2"
"PeerStatus","S1_PeerStatus","","S1 only",3,"3"
"PeerStatus","S1_PeerStatus","","S1 only",4,"4"
"PeerStatus","S1_PeerStatus","","S1 only",5,"5"
"PeerStatus","S1_PeerStatus","","S1 only",6,"6"
"PeerStatus","S1_PeerStatus","","S1 only",7,"High status"
"PositiveAffect","S1_PositiveAffect","","S1 only",,"S1 Subjective well-being: Positive affect"
"PosNegAffect_1","S1_PosNegAffect_1","","S1 only",1,"No"
"PosNegAffect_1","S1_PosNegAffect_1","","S1 only",2,"Yes"
"PosNegAffect_10","S1_PosNegAffect_10","","S1 only",1,"No"
"PosNegAffect_10","S1_PosNegAffect_10","","S1 only",2,"Yes"
"PosNegAffect_2","S1_PosNegAffect_2","","S1 only",1,"No"
"PosNegAffect_2","S1_PosNegAffect_2","","S1 only",2,"Yes"
"PosNegAffect_3","S1_PosNegAffect_3","","S1 only",1,"No"
"PosNegAffect_3","S1_PosNegAffect_3","","S1 only",2,"Yes"
"PosNegAffect_4","S1_PosNegAffect_4","","S1 only",1,"No"
"PosNegAffect_4","S1_PosNegAffect_4","","S1 only",2,"Yes"
"PosNegAffect_5","S1_PosNegAffect_5","","S1 only",1,"No"
"PosNegAffect_5","S1_PosNegAffect_5","","S1 only",2,"Yes"
"PosNegAffect_6","S1_PosNegAffect_6","","S1 only",1,"No"
"PosNegAffect_6","S1_PosNegAffect_6","","S1 only",2,"Yes"
"PosNegAffect_7","S1_PosNegAffect_7","","S1 only",1,"No"
"PosNegAffect_7","S1_PosNegAffect_7","","S1 only",2,"Yes"
"PosNegAffect_8","S1_PosNegAffect_8","","S1 only",1,"No"
"PosNegAffect_8","S1_PosNegAffect_8","","S1 only",2,"Yes"
"PosNegAffect_9","S1_PosNegAffect_9","","S1 only",1,"No"
"PosNegAffect_9","S1_PosNegAffect_9","","S1 only",2,"Yes"
"Progress","S1_Progress","S2_Progress","S1 and S2",,"Progress"
"Q_TotalDuration","S1_Q_TotalDuration","S2_Q_TotalDuration","S1 and S2",,"Q_TotalDuration"
"race","S1_race","S2_race","S1 and S2",,"race"
"Race_6_TEXT","S1_Race_6_TEXT","S2_Race_6_TEXT","S1 and S2",,"Choose one or more races that you consider yourself to be. - Text"
"RealisticInterests","","S2_RealisticInterests","S2 only",,"S2 Realistic interests"
"RecipientEmail","S1_RecipientEmail","S2_RecipientEmail","S1 and S2",,"Recipient Email"
"RecipientFirstName","S1_RecipientFirstName","S2_RecipientFirstName","S1 and S2",,"Recipient First Name"
"RecipientLastName","S1_RecipientLastName","S2_RecipientLastName","S1 and S2",,"Recipient Last Name"
"RecordedDate","S1_RecordedDate","S2_RecordedDate","S1 and S2",,"Recorded Date"
"Religiousness","S1_Religiousness","","S1 only",,"S1 Religious beliefs and behavior: Religiousness"
"Resilience","","S2_Resilience","S2 only",,"S2 Resilience"
"Resilience_1","","S2_Resilience_1","S2 only",1,"No, not at all"
"Resilience_1","","S2_Resilience_1","S2 only",2,"Yes, once or twice"
"Resilience_1","","S2_Resilience_1","S2 only",3,"Yes, sometimes"
"Resilience_1","","S2_Resilience_1","S2 only",4,"Yes, fairly often"
"Resilience_2","","S2_Resilience_2","S2 only",1,"No, not at all"
"Resilience_2","","S2_Resilience_2","S2 only",2,"Yes, once or twice"
